System,Aspect,Variable,VAR_NAME,MIN_MAX,QUANT_OPTION_1,QUANT_OPTION_2,QUANT_OPTION_3,QUANT_OPTION_4,QUANT_OPTION_5,QUANT_OPTION_6,QUAL_OPTION_1,QUAL_OPTION_2,QUAL_OPTION_3,QUAL_OPTION_4,QUAL_OPTION_5,QUAL_OPTION_6
VL_SYS,VL_SYS_TYPE,Empty Weight (Rel to System) (-),phi,"[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[6.,8.]","[3.,6.]","[4.,8.]","[3.,7.]","[5.,8.]","[6.,8.]"
VL_SYS,VL_SYS_TYPE,Figure of Merit (FM),FM,"[0.5,0.9]","[.5,.78]","[.5,.78]","[.5,.78]","[.5,.8]","[.5,.8]","[.5,.7]","[5.,8.]","[5.,8.]","[5.,8.]","[4.,9.]","[4.,9.]","[3.,7.]"
VL_SYS,VL_SYS_TYPE,Flat Plate Drag Area (-),f,"[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[3.,6.]","[2.,7.]","[3.,6.]","[4.,8.]","[4.,8.]","[4.,9.]"
VL_SYS,VL_SYS_TYPE,Disk Loading (w),w,"[3.,150.]","[5.,15.]","[3.,30.]","[3.,20.]","[30.,120.]","[50.,150.]","[30.,110.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_TYPE,Download (ed),e_d,"[0.05,0.3]","[.05,.15]","[.05,.3]","[.08,.3]","[.,.05]","[.,.05]","[.02,.1]","[3.,6.]","[1.,7.]","[2.,6.]","[4.,9.]","[4.,9.]","[2.,7.]"
VL_SYS,VL_SYS_TYPE,Sys Thrust to Power Ratio (T/P),TP,"[0.1,20.]","[6.,11.]","[2.,8.]","[6.,9.]","[.8,2.]","[.8,2.]","[5.,10.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_TYPE,,,,,,,,,,,,,,,
VL_SYS,VL_SYS_TYPE,,,,,,,,,,,,,,,
VL_SYS,VL_SYS_PROP,Empty Weight (Rel to System) (-),phi,"[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[3.,6.]","[5.,8.]","[3.,7.]","[2.,5.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_PROP,Figure of Merit (FM),FM,"[0.5,0.9]","[.5,.65]","[.65,.78]","[.55,.9]","[.5,.55]","[.5,.9]","[.5,.9]","[1.,4.]","[7.,9.]","[6.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_PROP,Disk Loading (w),w,"[3.,150.]","[80.,150.]","[3.,30.]","[20.,100.]","[150.,150.]","[3.,150.]","[3.,150.]","[2.,5.]","[6.,9.]","[3.,7.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_PROP,Solidity (_),sigma,"[0.4,0.15]","[.15,.4]","[.05,.25]","[.2,.4]","[.4,.15]","[.4,.15]","[.4,.15]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
