System,Aspect,Variable,VAR_NAME,MIN_MAX,QUANT_OPTION_1,QUANT_OPTION_2,QUANT_OPTION_3,QUANT_OPTION_4,QUANT_OPTION_5,QUANT_OPTION_6,QUAL_OPTION_1,QUAL_OPTION_2,QUAL_OPTION_3,QUAL_OPTION_4,QUAL_OPTION_5,QUAL_OPTION_6
VL_SYS,VL_SYS_TYPE,Empty Weight (Rel to System) (-),phi,"[1.,9.]","[6.,8.]","[3.,6.]","[2.,5.]","[3.,7.]","[5.,8.]","[6.,8.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_TYPE,Flat Plate Drag Area (-),f,"[1.,9.]","[2.,5.]","[2.,7.]","[1.,6.]","[5.,8.]","[6.,8.]","[6.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_TYPE,(Hover) Disk Loading (w),w,"[1.,150.]","[1.,15.]","[15.,80.]","[1.,25.]","[50.,120.]","[60.,150.]","[55.,100.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_TYPE,Download (ed),e_d,"[0.05,0.3]","[.05,.15]","[.05,.3]","[.08,.3]","[.,.05]","[.,.05]","[.02,.1]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_TYPE,Sys Thrust to Power Ratio (T/P),TP,"[0.1,20.]","[2.,13.]","[1.5,12.]","[3.,14.]","[.8,2.]","[.8,2.]","[2.,6.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_TYPE,,,,,,,,,,,,,,,
VL_SYS,VL_SYS_TYPE,,,,,,,,,,,,,,,
VL_SYS,VL_SYS_TYPE,,,,,,,,,,,,,,,
VL_SYS,VL_SYS_PROP,Empty Weight (Rel to System) (-),phi,"[1.,9.]","[3.,6.]","[5.,8.]","[3.,7.]","[2.,5.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_PROP,(Hover) Disk Loading (w),w,"[3.,150.]","[28.,100.]","[5.,22.]","[60.,115.]","[3.,150.]","[3.,150.]","[3.,150.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_PROP,Solidity (_),sigma,"[0.0,0.4]","[.15,.35]","[.05,.17]","[.2,.4]","[.4,.15]","[.4,.15]","[.4,.15]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]","[1.,9.]"
VL_SYS,VL_SYS_PROP,,,,,,,,,,,,,,,
