CHAR_001,QUAL_E1,QUAL_E2,QUAL_E3,QUAL_E4,QUAL_E5,QUAL_E6,QUAL_E7,QUAL_E8,QUAL_E9,QUAL_E10,QUAN_E1,QUAN_E2,QUAN_E3,QUAN_E4,QUAN_E5,QUAN_E6,QUAN_E7,QUAN_E8,QUAN_E9,QUAN_E10,,,,,,
Variable RPM Tilt-Rotor,"[4,6]",,,,,,,,,,"[4.,6.]",,,,,,,,,,,,,,,
Variable RPM Tilt-Wing,"[3,5]",,,,,,,,,,"[3.,5.]",,,,,,,,,,,,,,,
Fan-In-Wing Turbojet,"[4,8]",,,,,,,,,,"[4.,8.]",,,,,,,,,,,,,,,
Tilting Fan-in-Wing,"[3,7]",,,,,,,,,,"[3.,7.]",,,,,,,,,,,,,,,
Stopped Rotor,"[3,6]",,,,,,,,,,"[3.,6.]",,,,,,,,,,,,,,,
Auto-Gyro,"[5,7]",,,,,,,,,,"[5.,7.]",,,,,,,,,,,,,,,
Twin Rotor Tail-Sitter,"[7,8]",,,,,,,,,,"[7.,8.]",,,,,,,,,,,,,,,
Fan-in-Wing Fixed Pusher,"[4,7]",,,,,,,,,,"[4.,7.]",,,,,,,,,,,,,,,
Heliplane,"[5,8]",,,,,,,,,,"[5.,8.]",,,,,,,,,,,,,,,
Fan-in-Body Tilt-Duct,"[3,7]",,,,,,,,,,"[3.,7.]",,,,,,,,,,,,,,,
CHAR_002,QUAL_E1,QUAL_E2,QUAL_E3,QUAL_E4,QUAL_E5,QUAL_E6,QUAL_E7,QUAL_E8,QUAL_E9,QUAL_E10,QUAN_E1,QUAN_E2,QUAN_E3,QUAN_E4,QUAN_E5,QUAN_E6,QUAN_E7,QUAN_E8,QUAN_E9,QUAN_E10,,,,,,
Variable RPM Tilt-Rotor,"[1,9]",,,,,,,,,,"[300,330]",,,,,,,,,,,,,,,
Variable RPM Tilt-Wing,"[1,9]",,,,,,,,,,"[325,370]",,,,,,,,,,,,,,,
Fan-In-Wing Turbojet,"[1,9]",,,,,,,,,,"[380,450]",,,,,,,,,,,,,,,
Tilting Fan-in-Wing,"[1,9]",,,,,,,,,,"[310,340]",,,,,,,,,,,,,,,
Stopped Rotor,"[1,9]",,,,,,,,,,"[355,400]",,,,,,,,,,,,,,,
Auto-Gyro,"[1,9]",,,,,,,,,,"[305,355]",,,,,,,,,,,,,,,
Twin Rotor Tail-Sitter,"[1,9]",,,,,,,,,,"[315,365]",,,,,,,,,,,,,,,
Fan-in-Wing Fixed Pusher,"[1,9]",,,,,,,,,,"[330,390]",,,,,,,,,,,,,,,
Heliplane,"[1,9]",,,,,,,,,,"[350,410]",,,,,,,,,,,,,,,
Fan-in-Body Tilt-Duct,"[1,9]",,,,,,,,,,"[330,375]",,,,,,,,,,,,,,,
CHAR_003,QUAL_E1,QUAL_E2,QUAL_E3,QUAL_E4,QUAL_E5,QUAL_E6,QUAL_E7,QUAL_E8,QUAL_E9,QUAL_E10,QUAN_E1,QUAN_E2,QUAN_E3,QUAN_E4,QUAN_E5,QUAN_E6,QUAN_E7,QUAN_E8,QUAN_E9,QUAN_E10,,,,,,
Variable RPM Tilt-Rotor,"[1,9]",,,,,,,,,,"[0.65,0.75]",,,,,,,,,,,,,,,
Variable RPM Tilt-Wing,"[1,9]",,,,,,,,,,"[0.67,0.77]",,,,,,,,,,,,,,,
Fan-In-Wing Turbojet,"[1,9]",,,,,,,,,,"[0.25,0.6]",,,,,,,,,,,,,,,
